Price,Mileage,URL,Name
"24,995","37,294 miles",https://www.autotrader.com/cars-for-sale/vehicle/719441709?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2023 Tesla Model 3 Standard Range
"19,995","64,795 miles",https://www.autotrader.com/cars-for-sale/vehicle/717781344?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2020 Tesla Model 3 Standard Range Plus
"29,998","18,489 miles",https://www.autotrader.com/cars-for-sale/vehicle/719606472?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight,Used 2021 Tesla Model 3 Long Range
"6,999","123,837 miles",https://www.autotrader.com/cars-for-sale/vehicle/721163722?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 Honda CR-V EX
"7,998","132,834 miles",https://www.autotrader.com/cars-for-sale/vehicle/680367909?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2015 Chevrolet Impala LT
"7,999","91,714 miles",https://www.autotrader.com/cars-for-sale/vehicle/665294372?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 MINI Cooper Hardtop
"8,998","145,666 miles",https://www.autotrader.com/cars-for-sale/vehicle/711495253?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2012 Toyota Prius
"9,998","161,862 miles",https://www.autotrader.com/cars-for-sale/vehicle/671274743?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Toyota Sienna XLE
"9,999","88,589 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780210?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Ford Escape Titanium
"9,999","129,454 miles",https://www.autotrader.com/cars-for-sale/vehicle/716666776?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 MAZDA MX-5 Miata Sport
"9,999","160,593 miles",https://www.autotrader.com/cars-for-sale/vehicle/714075887?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2009 GMC Savana 2500
"10,999","95,564 miles",https://www.autotrader.com/cars-for-sale/vehicle/707926365?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2010 Toyota Prius
"11,998","333,588 miles",https://www.autotrader.com/cars-for-sale/vehicle/717780215?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2004 Dodge Ram 2500 Truck SLT
"11,999","152,551 miles",https://www.autotrader.com/cars-for-sale/vehicle/720871604?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2016 Ford Expedition EL XLT
"12,998","201,287 miles",https://www.autotrader.com/cars-for-sale/vehicle/684310693?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 Ford E-350 and Econoline 350 XLT
"12,998","82,759 miles",https://www.autotrader.com/cars-for-sale/vehicle/712301014?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Toyota Prius
"12,999","58,973 miles",https://www.autotrader.com/cars-for-sale/vehicle/714988396?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2006 MAZDA MX-5 Miata Sport
"12,999","96,059 miles",https://www.autotrader.com/cars-for-sale/vehicle/714075888?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2008 MAZDA MX-5 Miata Grand Touring
"12,999","88,316 miles",https://www.autotrader.com/cars-for-sale/vehicle/720726531?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2011 Ford Mustang Coupe
"13,000","130,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/720882673?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 Tesla Model S 85
"13,000","141,500 miles",https://www.autotrader.com/cars-for-sale/vehicle/716684354?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2017 Tesla Model 3 Long Range
"13,745","138,288 miles",https://www.autotrader.com/cars-for-sale/vehicle/720151468?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2013 Tesla Model S Performance
"13,999","91,445 miles",https://www.autotrader.com/cars-for-sale/vehicle/625452919?allListingType=all-cars&keywordPhrases=Tesla%20Model%20S%20Sedan%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DTesla%2520Model%2520S%2520Sedan%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing,Used 2014 BMW X5 sDrive35i
