Price,Name,Mileage,URL
"16,495",Used 2017 Volkswagen Golf SE,"49,897 miles",https://www.autotrader.com/cars-for-sale/vehicle/710985531?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"18,500",Used 2020 Volkswagen Golf 4-Door,"53,492 miles",https://www.autotrader.com/cars-for-sale/vehicle/715017709?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"27,485",Certified 2021 Volkswagen GTI SE,"18,079 miles",https://www.autotrader.com/cars-for-sale/vehicle/717292463?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"3,300",Used 2012 Volkswagen Golf 2-Door,"254,898 miles",https://www.autotrader.com/cars-for-sale/vehicle/720827624?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,200",Used 2012 Volkswagen Golf 4-Door,"156,000 miles",https://www.autotrader.com/cars-for-sale/vehicle/694700334?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,900",Used 2012 Volkswagen Golf 4-Door,"120,300 miles",https://www.autotrader.com/cars-for-sale/vehicle/716541285?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,984",Used 2012 Volkswagen Golf 4-Door,"183,455 miles",https://www.autotrader.com/cars-for-sale/vehicle/721068408?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,986",Used 2012 Volkswagen Golf 4-Door,"111,577 miles",https://www.autotrader.com/cars-for-sale/vehicle/719504466?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"4,997",Used 2012 Volkswagen Golf 2-Door,"167,320 miles",https://www.autotrader.com/cars-for-sale/vehicle/716640950?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,945",Used 2012 Volkswagen Golf 2-Door,"136,951 miles",https://www.autotrader.com/cars-for-sale/vehicle/702492205?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,974",Used 2010 Volkswagen Golf 4-Door,"155,974 miles",https://www.autotrader.com/cars-for-sale/vehicle/721159896?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"5,998",Used 2012 Volkswagen Golf 2-Door,"153,482 miles",https://www.autotrader.com/cars-for-sale/vehicle/715737390?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,500",Used 2007 Toyota Prius,"150,065 miles",https://www.autotrader.com/cars-for-sale/vehicle/720386255?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,800",Used 2010 Volkswagen Golf 4-Door,"162,529 miles",https://www.autotrader.com/cars-for-sale/vehicle/718389302?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,980",Used 2012 Volkswagen Golf 2-Door,"117,671 miles",https://www.autotrader.com/cars-for-sale/vehicle/718402491?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"6,999",Used 2012 Toyota Prius Three,"165,383 miles",https://www.autotrader.com/cars-for-sale/vehicle/680163615?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,500",Used 2012 Volkswagen Golf 4-Door,"112,880 miles",https://www.autotrader.com/cars-for-sale/vehicle/716310104?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,950",Used 2012 Volkswagen Golf 4-Door,"101,440 miles",https://www.autotrader.com/cars-for-sale/vehicle/716244115?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,990",Used 2012 Volkswagen Golf 4-Door,"133,461 miles",https://www.autotrader.com/cars-for-sale/vehicle/718073442?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2012 Volkswagen Golf R 2-Door,"193,640 miles",https://www.autotrader.com/cars-for-sale/vehicle/717418403?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,995",Used 2012 Volkswagen Golf 4-Door,"72,173 miles",https://www.autotrader.com/cars-for-sale/vehicle/719073613?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,000",Used 2012 Volkswagen GTI,"135,306 miles",https://www.autotrader.com/cars-for-sale/vehicle/720411125?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,495",Used 2012 Volkswagen Golf 2-Door,"64,932 miles",https://www.autotrader.com/cars-for-sale/vehicle/721177768?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,499",Used 2012 Volkswagen GTI Autobahn,"128,280 miles",https://www.autotrader.com/cars-for-sale/vehicle/721249618?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,979",Used 2012 Mitsubishi Lancer ES,"104,481 miles",https://www.autotrader.com/cars-for-sale/vehicle/720535507?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,988",Used 2012 Volkswagen Golf 4-Door,"118,551 miles",https://www.autotrader.com/cars-for-sale/vehicle/714019383?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,988",Used 2012 Volkswagen Golf 2-Door,"84,573 miles",https://www.autotrader.com/cars-for-sale/vehicle/720823089?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"8,990",Used 2012 Volkswagen Golf TDI,"85,356 miles",https://www.autotrader.com/cars-for-sale/vehicle/703066496?allListingType=all-cars&keywordPhrases=Volkswagen%20Golf%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolkswagen%2520Golf%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
