Price,Name,Mileage,URL
"15,995",Used 2012 Volvo C30 T5,"71,071 miles",https://www.autotrader.com/cars-for-sale/vehicle/718402657?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"11,985",Used 2012 Volvo C30 T5 R-Design,"117,380 miles",https://www.autotrader.com/cars-for-sale/vehicle/719453664?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=spotlight
"6,990",Used 2012 Volvo C30 T5,"142,024 miles",https://www.autotrader.com/cars-for-sale/vehicle/710138346?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"7,795",Used 2011 Volvo C30,"100,757 miles",https://www.autotrader.com/cars-for-sale/vehicle/713816793?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"9,677",Used 2012 Volvo C30 T5,"95,824 miles",https://www.autotrader.com/cars-for-sale/vehicle/720572621?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,358",Used 2012 Volvo C30 T5,"88,851 miles",https://www.autotrader.com/cars-for-sale/vehicle/721007520?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"10,999",Used 2012 Volvo C30 T5 R-Design,"94,401 miles",https://www.autotrader.com/cars-for-sale/vehicle/720957971?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,499",Used 2012 Volvo C30 T5,"100,318 miles",https://www.autotrader.com/cars-for-sale/vehicle/717715961?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"11,985",Used 2012 Volvo C30 T5 R-Design,"117,380 miles",https://www.autotrader.com/cars-for-sale/vehicle/719453664?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,987",Used 2012 Volvo C30 T5,"98,268 miles",https://www.autotrader.com/cars-for-sale/vehicle/721254252?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"12,998",Used 2012 Volvo C30,"92,697 miles",https://www.autotrader.com/cars-for-sale/vehicle/720406225?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
"13,020",Used 2012 Volvo C30 T5,"91,218 miles",https://www.autotrader.com/cars-for-sale/vehicle/718739419?allListingType=all-cars&keywordPhrases=Volvo%20C30%20Hatchback%202012&newSearch=false&referrer=%2Fall-cars%3FkeywordPhrases%3DVolvo%2520C30%2520Hatchback%25202012%26newSearch%3Dtrue%26sortBy%3DderivedpriceASC&sortBy=derivedpriceASC&clickType=listing
